state,year,permit,handgun,long_gun,other,multiple,totals,"Total employment, percent change",Total employer establishments,Total employment,Total annual payroll,Total nonemployer establishments
Alabama,2015,246203,243734,176075,9442,10781,737509,0.019,98540,1634391,67370353,322025
Alaska,2015,2682,37086,36372,2318,2240,85621,0.004,20907,267999,15643303,55521
Arizona,2015,47873,148400,93155,8896,6794,331442,0.024,136352,2295186,102671393,451951
Arkansas,2015,55516,77394,83097,2264,4248,257346,0.011,65175,1003113,39451191,198380
California,2015,873632,477822,343127,53693,0,1761079,0.035,908120,14325377,856954246,3206958
Colorado,2015,48739,216791,163128,11488,12415,454062,0.033,161737,2253795,117539555,480847
Connecticut,2015,133565,123507,48350,2230,0,307750,0.012,89232,1503102,92555072,272809
Delaware,2015,4520,23245,20043,897,803,50416,0.015,24852,397385,21305227,60734
Florida,2015,201131,572020,277768,28972,21369,1147082,0.045,532830,7777990,337074525,2040339
Georgia,2015,192809,189445,126520,5191,7473,566946,0.04,224593,3692490,174839354,870897
Hawaii,2015,15266,0,0,0,0,15290,0.009,31915,523677,22068393,104707
Idaho,2015,29029,39024,53450,1998,2207,136946,0.03,44757,546524,21119617,122221
Illinois,2015,838018,252978,146878,0,9524,1247398,0.022,318266,5427549,289183546,968330
Indiana,2015,639313,249169,160378,12898,7835,1076917,0.022,145116,2660503,113315432,403546
Iowa,2015,108952,2678,34192,315,66,147309,0.017,80952,1338418,55079743,207167
Kansas,2015,19880,76665,69909,3622,3965,185859,0.01,74526,1189876,51259676,195777
Kentucky,2015,2923972,128700,109642,3216,6991,3218371,0.029,91845,1579477,63741066,280835
Louisiana,2015,25638,163856,140651,8591,7727,372613,0.004,105575,1724973,76684760,358223
Maine,2015,3780,42604,41198,1942,1965,94744,0.016,40801,500549,20413159,113012
Maryland,2015,19122,37088,65102,1354,164,125694,0.01,137204,2239817,118496858,475518
Massachusetts,2015,60526,65841,34145,4493,1877,167285,0.026,175225,3167329,198026611,514298
Michigan,2015,217034,141689,126919,4602,2378,500921,0.032,219627,3725280,174873962,700254
Minnesota,2015,253341,110200,136831,6247,4105,519244,0.018,148666,2612314,133092716,397378
Mississippi,2015,10652,109994,90161,3141,4700,252372,0.016,58662,926391,33948151,211955
Missouri,2015,85663,253977,186718,13009,11940,584875,0.016,158191,2442316,109135528,402091
Montana,2015,12831,35977,57550,1355,2592,127705,0.031,37270,375041,14227065,86969
Nebraska,2015,49150,1809,26998,213,68,79340,0.023,53719,870279,36967924,131518
Nevada,2015,25057,56978,34316,2510,3117,127480,0.037,63383,1129965,46595673,205980
New Hampshire,2015,41217,55003,38243,1265,22,136816,0.023,37669,576424,28076320,104437
New Jersey,2015,0,47849,40533,1652,0,90034,0.009,230961,3558619,209072015,670765
New Mexico,2015,8917,65666,52235,3948,3516,147912,0.039,43793,626284,25145307,121279
New York,2015,39889,107532,184216,7360,1800,346048,0.018,540298,7998994,513083321,1685636
North Carolina,2015,285468,15243,166991,7675,2769,531876,0.031,223209,3670284,164936258,722639
North Dakota,2015,7315,20610,36980,907,1040,69429,0.014,24848,365893,17184756,53263
Ohio,2015,95332,357374,233793,17977,14885,748502,0.018,251668,4719985,213161303,763418
Oklahoma,2015,0,165875,127273,10439,10787,359276,0.008,93093,1370988,59124620,276218
Oregon,2015,553,150194,125378,0,0,276126,0.038,112393,1498727,71006598,278839
Pennsylvania,2015,267623,601164,118232,0,0,993429,0.01,299695,5306896,257626942,811890
Rhode Island,2015,0,11274,8402,703,1561,22129,0.01,28387,425748,19704826,76747
South Carolina,2015,86351,121972,85004,5798,4335,326997,0.028,103973,1662251,66120263,329431
South Dakota,2015,8928,32317,50323,2215,1959,100268,0.016,26511,353540,13812997,64006
Tennessee,2015,141621,300767,198386,0,13231,654192,0.022,133344,2507205,110481280,495703
Texas,2015,268158,617174,486807,33752,31812,1574266,0.032,569091,10239710,521095797,2205149
Utah,2015,149612,41687,49217,2151,2225,254814,0.049,75463,1203954,51453266,216280
Vermont,2015,0,16353,16694,787,705,34588,0.02,21121,266363,10615093,60312
Virginia,2015,6028,262120,184030,10728,0,462997,0.012,197384,3198718,165788897,576446
Washington,2015,126583,183549,129667,15639,6814,502280,0.029,182913,2602408,149258789,444135
West Virginia,2015,31534,88627,85883,2941,5466,249014,-0.017,36993,565435,22159084,88136
Wisconsin,2015,65241,155285,149264,7105,510,383280,0.022,139500,2503532,112406494,341935
Wyoming,2015,6674,22374,26264,1123,1279,62339,,21040,219881,10094010,48140
