state,year,permit,handgun,long_gun,other,multiple,totals,Building permits
Alabama,2016,291039,153123,121963,6104,6545,616947,15001
Alaska,2016,3121,37491,36887,2889,2316,87647,1503
Arizona,2016,87771,166784,108988,13122,7908,416279,35578
Arkansas,2016,55456,80244,82120,3059,4400,266014,9474
California,2016,1036981,560355,554550,211707,0,2377167,102350
Colorado,2016,85087,242502,180026,15890,14293,540514,38974
Connecticut,2016,148949,122375,43813,2445,0,317692,5504
Delaware,2016,8440,25574,21746,1268,1034,59430,5804
Florida,2016,337086,662308,316232,42439,25142,1435340,116240
Georgia,2016,233115,194800,128277,6474,7478,612985,51675
Hawaii,2016,16627,0,0,0,0,16681,3369
Idaho,2016,38086,46523,55591,2804,2406,156343,12165
Illinois,2016,962930,352411,177255,0,12133,1924070,22603
Indiana,2016,946912,278182,177218,17764,9082,1436725,18713
Iowa,2016,161841,2790,35254,393,70,202277,14317
Kansas,2016,19402,81116,73748,5323,4271,196548,9807
Kentucky,2016,3372613,140721,109030,3886,6943,3676847,12714
Louisiana,2016,35141,171588,139122,11420,8609,391869,14503
Maine,2016,6986,48845,46780,3032,2458,111582,4010
Maryland,2016,36025,52305,71892,1789,337,165367,17044
Massachusetts,2016,97516,75977,41931,7096,2480,226212,16288
Michigan,2016,251162,164878,129089,6382,2815,579605,20408
Minnesota,2016,350315,133962,143543,10289,5046,651599,21449
Mississippi,2016,22564,119050,92822,4081,5263,276161,6886
Missouri,2016,90972,274754,202708,17404,12753,632319,18997
Montana,2016,20512,37547,56834,2142,2678,136337,4781
Nebraska,2016,58386,1717,26494,260,82,88663,8078
Nevada,2016,30950,66158,38105,3387,3723,147992,17952
New Hampshire,2016,48347,68529,44681,2206,55,165164,3796
New Jersey,2016,0,70249,49099,2505,0,121853,26793
New Mexico,2016,14149,69434,55664,4924,3732,161216,4863
New York,2016,49646,133285,197670,12500,2466,404772,33711
North Carolina,2016,345364,16595,176919,9886,2812,601445,60550
North Dakota,2016,13240,19975,34013,1284,972,72036,3981
Ohio,2016,167449,394570,243963,23993,16333,875724,22816
Oklahoma,2016,0,166181,130514,13098,10661,364590,12092
Oregon,2016,2903,178716,143029,0,0,324708,19586
Pennsylvania,2016,333755,642232,158141,249,0,1143220,23303
Rhode Island,2016,0,14262,10204,885,1999,27758,1226
South Carolina,2016,149428,132473,87413,6778,4490,402978,32165
South Dakota,2016,16279,36520,49522,3134,2184,111921,5686
Tennessee,2016,106082,319169,210161,5011,11092,714774,36157
Texas,2016,390462,637476,481609,40329,33102,1721726,165853
Utah,2016,178393,47401,54133,3514,1191,294907,22662
Vermont,2016,0,18320,18853,1291,885,39417,1771
Virginia,2016,9817,295963,209975,12547,0,528369,31132
Washington,2016,268274,214106,151029,23732,8028,713996,44077
West Virginia,2016,26806,92124,81105,3643,5283,242350,2544
Wisconsin,2016,199431,186300,159784,9867,523,561819,19274
Wyoming,2016,7938,22569,25815,1457,1295,63594,1727
